Wilayah,2018,2019,2020,2018,2019,2020,2018,2019,2020
Kota Bandung,1262479.00,1263916.00,1264325.00,1241229.00,1243972.00,1245778.00,2503708.00,2507888.00,2510103.00
Bandung Kulon,73172.00,73231.00,73221.00,72782.00,72875.00,72955.00,145954.00,146106.00,146176.00
Babakan Ciparay,77973.00,78333.00,78622.00,74627.00,75084.00,75421.00,152600.00,153417.00,154043.00
Bojongloa Kaler,58249.00,57860.00,57420.00,55643.00,55353.00,54977.00,113892.00,113213.00,112397.00
Bojongloa Kidul,44442.00,44515.00,44546.00,41999.00,42103.00,42217.00,86441.00,86618.00,86763.00
Astana Anyar,31641.00,31254.00,30842.00,31754.00,31397.00,31022.00,63395.00,62651.00,61864.00
Regol,39829.00,39617.00,39369.00,40203.00,40038.00,39845.00,80032.00,79655.00,79214.00
Lengkong,32890.00,32488.00,32061.00,33793.00,33413.00,33015.00,66683.00,65901.00,65076.00
Bandung Kidul,34618.00,35223.00,35805.00,34813.00,35430.00,36050.00,69431.00,70653.00,71855.00
Buah Batu,51275.00,51654.00,51987.00,51321.00,51752.00,52131.00,102596.00,103406.00,104118.00
Rancasari,40291.00,40588.00,40850.00,40445.00,40806.00,41126.00,80736.00,81394.00,81976.00
Gedebage,19085.00,19226.00,19351.00,19324.00,19490.00,19637.00,38409.00,38716.00,38988.00
Cibiru,41629.00,42479.00,43306.00,40542.00,41431.00,42264.00,82171.00,83910.00,85570.00
Panyileukan,23273.00,23747.00,24209.00,23014.00,23524.00,24002.00,46287.00,47271.00,48211.00
Ujung Berung,42725.00,43352.00,43947.00,41853.00,42535.00,43166.00,84578.00,85887.00,87113.00
Cinambo,14022.00,14228.00,14423.00,13547.00,13730.00,13946.00,27569.00,27958.00,28369.00
Arcamanik,33566.00,33464.00,33331.00,32968.00,32885.00,32777.00,66534.00,66349.00,66108.00
Antapani,45066.00,46062.00,47039.00,45107.00,46183.00,47198.00,90173.00,92245.00,94237.00
Mandalajati,38076.00,38917.00,39743.00,37193.00,38070.00,38944.00,75269.00,76987.00,78687.00
Kiaracondong,63840.00,63470.00,63042.00,63897.00,63562.00,63230.00,127737.00,127032.00,126272.00
Batununggal,56557.00,55992.00,55383.00,54866.00,54393.00,53838.00,111423.00,110385.00,109221.00
Sumur Bandung,16352.00,16152.00,15939.00,16266.00,16083.00,15891.00,32618.00,32235.00,31830.00
Andir,44801.00,44253.00,43671.00,43844.00,43351.00,42834.00,88645.00,87604.00,86505.00
Cicendo,49941.00,49860.00,49733.00,49816.00,49784.00,49712.00,99757.00,99644.00,99445.00
Bandung Wetan,14145.00,13972.00,13788.00,14566.00,14402.00,14230.00,28711.00,28374.00,28018.00
Cibeunying Kidul,49810.00,49219.00,48592.00,49039.00,48536.00,47956.00,98849.00,97755.00,96548.00
Cibeunying Kaler,33413.00,33096.00,32752.00,32143.00,31829.00,31544.00,65556.00,64925.00,64296.00
Coblong,67011.00,67017.00,66961.00,61275.00,61354.00,61381.00,128286.00,128371.00,128342.00
Sukajadi,53536.00,53364.00,53142.00,53700.00,53576.00,53411.00,107236.00,106940.00,106553.00
Sukasari,40076.00,39900.00,39687.00,40591.00,40470.00,40320.00,80667.00,80370.00,80007.00
Cidadap,31175.00,31383.00,31563.00,30298.00,30533.00,30738.00,61473.00,61916.00,62301.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
