Kelompok Umur,2018,2019,2020,2018,2019,2020,2018,2019,2020
0 – 4,101851,100268,98637,97828,96262,94658,199679,196530,193295
5 – 9,97819,97256,96154,93001,92702,91973,190820,189958,188127
10 – 14,87344,86810,86617,83962,83316,82940,171306,170126,169557
15 – 19,107583,106374,105325,109771,108412,107103,217354,214786,212428
20 – 24,133079,132224,130877,124578,123500,122037,257657,255724,252914
25 – 29,118368,117650,117081,109131,108690,108288,227499,226340,225369
30 – 34,108945,108335,107756,100824,99937,99419,209769,208272,207175
35 – 39,97973,97014,95765,96857,95903,94487,194830,192917,190252
40 – 44,93255,93112,92961,93613,94070,94421,186868,187182,187382
45 – 49,82900,83849,84498,85195,86414,87375,168095,170263,171873
50 – 54,72885,74627,76196,74157,75902,77538,147042,150529,153734
55 – 59,59414,60992,62688,61344,63231,65142,120758,124223,127830
60 – 64,40453,41950,43329,39724,41629,43311,80177,83579,86640
65 - 69,28214,29764,31233,29297,30654,32301,57511,60418,63534
70 - 74,17289,18006,18974,18674,19263,19862,35963,37269,38836
75 +,15107,15685,16234,23273,24087,24923,38380,39772,41157
Jumlah,1262479,1263916,1264325,1241229,1243972,1245778,2503708,2507888,2510103
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
